project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379451	P2_82	ICM0059_SAG.1_MAST-7	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379452	P2_92	ICM0060_SAG.1_MAST-1	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379453	P3_10	ICM0061_SAG.1_Basidiomycota	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379454	P3_15	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379455	P3_21	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379456	P3_31	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379457	P3_38	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379458	P3_40	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379459	P3_46	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379460	P3_51	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379461	P3_63	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379462	P3_66	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379463	P3_71	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379464	P3_94	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379465	P4_02	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379466	P4_09	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379467	P4_15	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379468	P4_24	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379469	P4_31	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379470	P4_35	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379471	P4_39	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379472	P4_49	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379473	P4_62	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379474	P4_66	ICM0062_COSAG.1_Mamiellophyceae	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379475	P4_68	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379476	P4_69	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379477	P4_72	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379478	P4_73	ICM0062_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
